publish_status,event_id,color,event_name,event_description,event_start_date,event_start_time,event_end_date,event_end_time,evo_tz,time_ext_type,hide_end_time,event_gmap,yearlong,featured,evo_location_id,location_name,event_location,location_description,location_latitude,location_longitude,location_link,location_img,evo_organizer_id,event_organizer,organizer_description,evcal_org_contact,evcal_org_address,evcal_org_exlink,evo_org_img,evcal_subtitle,learnmore link,image_url,repeatevent,frequency,repeats,repeatby,event_type,event_type_slug,event_type_2,event_type_2_slug,
draft,46410,4bb5d8,"Fools Paradise Asia at Longlae Market Sam Roi Yot","Come and enjoy delicious street food\, cold beverages and great music at the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to Fools ParadiseAsia at 7p Call 090-928-6874 for more information","11/08/2025","07:00:PM","11/08/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092",,,,,,,,"Fools Paradise Asia at Longlae Market Sam Roi Yot",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/FB_IMG_1760408393828.jpg,no,"weekly","111",,"4001,1827,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,46363,4bb5d8,"Live &amp; DJ Music at Thaiger Lily Bar &amp; Restaurant Soi Bintabaht","Check out Thaiger Lily\, Hua Hin's newest and hottest night spot for dinner\, drinks\, dancing\, pool\, darts and fun. DJ every night. Live Music - Mr Noo every Tuesday and Thursday 8p - Khun Name Duo every Wednesday\, Friday and Sunday 8p DJ M Fridays and Saturdays 8p Open 7 Nights a week - 4p until 2a","11/21/2025","08:00:PM","11/21/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"18484","Thaiger Lily - Bar &amp;amp; Restaurant",,"",,,"https://maps.app.goo.gl/QUoK3yFCXJYTu2nD6","Array",,,,,,,,"Live &amp; DJ Music at Thaiger Lily Bar Soi Bintabaht ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/Messenger_creation_9D5C7D2C-2CA1-4705-8008-71483F65B82F.jpeg,yes,"daily","711",,"4288,3985,2686,4000,1827,4027,","Retro Disco","4267,","Music/Gigs Calendar",
publish,46358,4bb5d8,"DJ Monkey at The Blue Monkey 24","Come to one of the hottest bars in the Bintabaht Entertainment District for a great time enjoying a cocktail\, playing pool\, dancing or just hanging out in the lounge. Check out DJ Monkey 7 nights a week from 9p until midnight. Blue Monkey is open 7 nights a week from 6p","10/09/2025","09:00:PM","10/09/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"18483","The Blue Monkey 24","Poonsuk Rd Bintabaht Entertainment District Hua Hin","",,,,"Array",,,,,,,,"DJ Monkey at The Blue Monkey 24",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/FB_IMG_1760001506126.jpg,yes,"daily","701",,"2686,3999,4000,1827,4027,","Retro Disco","4267,","Music/Gigs Calendar",
publish,46347,4bb5d8,"Ta-Lay Beach Festival at Triple Tree Beach Resort Cha-Am","Ready to Party and Dance? Join the Cha-Am Ta-Lay Music FestivalJoin the seaside music festival that dares you to #RideTheWave and let loose with non-stop fun on 18 October as Chang Music Connection Presents: Ta-Lay Music Festival\, bringing you 9 powerhouse artists live on the beach:BODYSLAM / POTATO / PARADOX / JOEYBOY / KLEAR / TILLY BIRDS / PROXIE / ATLAS / YES INDEEDGrab your tickets now at all 7-Eleven branches or online at https://www.allticket.com/event/talaymusicfestTriple Tree Beach Resort\, Cha-Am","10/18/2025","03:30:PM","10/18/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"7739","Triple Tree Beach Resort Cha-Am",,"Triple Tree Beach Resort Cha-Am",,,"https://maps.app.goo.gl/xPkBfsF2QjaQUAhG6","Array","4583","Chang Beer Company","Chang Beer Company",,,,"46351","Ta-Lay Beach Festival @ Triple Tree Beach Resort Cha-Am",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/FB_IMG_1759983638400.jpg,no,,"1",,"1785,3985,5622,1827,3986,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
draft,46308,4bd6c6,"Kolour Festival Hua Hin 2025 at The Standard Hotel Hua Hin","&nbsp;www.kolour.net 8 November Wildealer\, DJ Claudine\, DJ Bonita Everitt\, Meltmode Visit&nbsp;www.","11/08/2025","04:00:PM","11/08/2025","11:00:PM","Asia/Bangkok","n",no,yes,"no",no,"2168","The Standard",,"The Standard",,,"https://goo.gl/maps/C8xZLHiBjcg5K83YA","18809","2169","The Standard","",,,,,"Kolour Festival Hua Hin 2024 @ The Standard Hotel Hua Hin",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/Messenger_creation_44EE32C2-B67E-400E-85EE-66F6D3103078.jpeg,no,,"1",,"1767,","Party",,,
publish,46239,4bb5d8,"DJ Queen B at Sip Society Grand Opening Party","Sip\, savor\, and celebrate. Join us for the grand opening of your new hidden gems bar &amp; café!Sip Society Grand Opening 3 October 7p till late (formerly Filthy Pilot Social Club)You're Invited!- Sip Society Bar Opening NightIt's finally happening - Sip Society Bar is opening its doors and you're on the listt Come hang out\, sip with us\, and kick off the night with some trouble (the fun kind ).Where? Right next to the gas station\, Soi 94\, Hua Hin (yes\, really - follow the vibe\, not the map).-When? From 7 PM till late. Don't be late at 7 PM - that's when the fire starts and we're giving away free shots to warm things up.Live DJ Queen B all night long - bringing beats\, vibes\, and a dance floor you won't want to leave.Heads up: No parking at the bar. Don't stress uour ride - iust Grab it and arrive ready to party.Expect good drinks\, loud laughs\, and the kind of night you'lltll your friends about tomorrow (if you remember it). Sip. Laugh. Repeat. See you there\, Society fam!FIND US BY THIS QR!03SIP SOCIETY BAR HUA HIN SOI 94\,7PM- LATESoi 94 https://maps.app.goo.gl/atTzZFgNHa4Nkokx6","10/03/2025","07:00:PM","10/03/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"18160","Sip Society",,"",,,"https://maps.app.goo.gl/atTzZFgNHa4Nkokx6","Array",,,,,,,,"DJ Orange Butler @ Filthy Pilot Social Club - House - EDM - Techno - Retro Disco",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/1759061859473.jpg,no,"weekly","222",,"2686,3999,4000,1827,4027,4030,","Techno","4267,","Music/Gigs Calendar",
publish,46230,4bb5d8,"The Sticky Cats at Scruffy's Irish Pub Hua Hin","Come and relax with a delicious meal\, cold beverage and some tasty pop\, rock\, soul &amp; R&amp;B music performed every Thursday night at 8p by The Sticky Cats. You won't be sorry. Scruffy's has a full menu of outstanding western style dishes\, a wide array of imported and Craft Beers and a amazing selection of Top Shelf Spirits to suite your every drinking and dining desires. Located on the corner of Soi 94 and Soi Mae Kep 2 - open daily 4p until midnight.","10/09/2025","08:00:PM","10/09/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"15619","Scruffy&amp;#039;s Irish Pub Hua Hin",,"",,,"https://maps.app.goo.gl/vK6yrDFu2bgMBSpu5","Array",,,,,,,,"The Sticky Cats at Scruffy&#039;s Irish Pub Hua Hin",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/Messenger_creation_137B25A1-F38B-4351-8385-2B1C4331056F.jpeg,yes,"weekly","311",,"3990,3985,5622,1827,3764,","R &amp; B","4267,","Music/Gigs Calendar",
draft,46200,4bb5d8,"Ped Bluesman Unplugged Session at Woodstock Hua Hin","Sit back\, relax and enjoy the mellow acoustic blues and R&amp;B of Ped Bluesman's Upplugged Session appearing every Saturday night at 9:30p Woodstock open 7 days a week 4p - Midnight Reserve your table : inbox direct message or calling 087-696-3293","09/27/2025","09:30:PM","09/27/2025","11:45:PM","Asia/Bangkok","n",no,no,"no",no,"3761","Woodstock Hua Hin","Hua Hin 88 ,","",,,"https://maps.app.goo.gl/iEVg6m9F3baNjMe58","22499","3762","Woodstock Hua Hin","Woodstock Hua Hin",,"Hua Hin 88 , Hua Hin, Thailand, Prachuap Khiri Khan",,"22499","Ped Bluesman Unplugged Sessions @ Woodstock Hua Hin",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/FB_IMG_1758978684421.jpg,yes,"weekly","218",,"1832,1829,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,46197,4bb5d8,"DJ Mike at Strong Bar","Get up and dance of relax with a frosty beverage and groove with the contemporary pop sounds of DJ Mike playing all your favorite dance songs from the 80's thru the 2000's every night 9p until midnight The Strong Bar is place great ace to go for a have a drink\, a snack\, hear music or meet with friends. Open 7 days a week 8a until 1:00a Located in heart of the Bintabaht Entertainment District.","09/27/2025","09:00:PM","09/27/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"7153","Strong Bar",,"",,,,"Array","7154","Strong Bar","",,,,,"DJ Mike @ Strong Bar - Pop - Rock - Contemporary Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/images7.jpg,yes,"daily","600",,"3985,2686,4000,1827,4027,","Retro Disco","4267,","Music/Gigs Calendar",
publish,46089,4bb5d8,"Ann Mellis at Solo Beach Hua Hin","Check out the cool R&amp;B\, Soul &amp; Pop sounds of Ann Mellis at Solo Beach Hua Hin on Naresdamri Rd east end of the Bintabaht Entertainment District. Stop in for dinner and a drink...stay for the music. Every Thursday 7p-10p Open 7 days a week 3p to 11:30p Right next to the Hilton Hotel","09/25/2025","07:00:PM","09/25/2025","10:00:PM","Asia/Bangkok","n",no,no,,no,"17576","Solo Beach Hua Hin",,"",,,"https://maps.app.goo.gl/1LLHDGLd8ic62Mke6","Array",,,,,,,,"Ann Mellis at Solo Beach Hua Hin - Acoustic ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/FB_IMG_1758421429229.jpg,yes,"weekly","331",,"1832,3990,1827,3764,","R &amp; B","4267,","Music/Gigs Calendar",
publish,46087,4bb5d8,"Mr Noo at Macarena 94 Tapas Bar","Sit back and relax in the chill atmosphere of Macarena 94 Tapas Bar and listen to the pop &amp; blues rock acoustic sounds of Mr Noo and vocalist Mattawi every Sunday night 8p - 11p Macarena 94 Tapas Bar is located on Soi 94 West","12/07/2025","08:00:PM","12/07/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"16008","Macarena 94 Bistro",,"",,,"https://maps.app.goo.gl/9MaDxYe58kyi5BGq9","Array",,,,,,,,"Mr Noo at Macarena 94 Tapas Bar - Acoustic Blues - Blues Rock",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/49rHHm1R.jpg,yes,"weekly","221",,"1832,1829,3990,5622,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,46001,4bb5d8,"Midnight Rider featuring Marni &amp; Tor at Crazy A's Bar &amp; Grill","Crazy A's Every Fridaynight enjoy a delicious meal\, cool beverage and live music with MidnightRider featuring Marni &amp; Tor at Crazy A's Bar &amp; Grill from 8p to 11p Crazy A's is located on Soi 94 - 50 meters past the right / left jog at Initial Hotel","09/19/2025","08:00:PM","09/19/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"16496","Crazy A&amp;#039;s Bar &amp;amp; Grill",,"",,,"https://maps.app.goo.gl/TCJJo3HbGefAA8bk7","Array",,,,,,,,"Midnight Rider featuring Marni &amp; Tor at Crazy A&#039;s Bar &amp; Grill",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/Screenshot_20250914_145447_Messenger.jpg,yes,"weekly","300",,"3990,4001,1827,3988,","Party Rock","4267,","Music/Gigs Calendar",
publish,45871,4bb5d8,"Feelin' Cute Band at Scruffy's Irish Pub Hua Hin","Come and relax with a delicious meal\, cold beverage and some tasty pop music performed every Wednesday night at 8p by the Feelin Cute Band Scruffy's has a full menu of outstanding western style dishes\, a wide array of imported and Craft Beers and a amazing selection of Top Shelf Spirits to suite your every drinking and dining desires. Located on the corner of Soi 94 and Soi Mae Kep 2 - open daily 4p until midnight.","09/10/2025","08:00:PM","09/10/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"15619","Scruffy&amp;#039;s Irish Pub Hua Hin",,"",,,"https://maps.app.goo.gl/vK6yrDFu2bgMBSpu5","Array",,,,,,,,"Feelin Cute Band @ Scruffy&#039;s Irish Pup Hua Hin - Contemporary Pop ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/Screenshot_20250904_200329_One-UI-Home.jpg,yes,"weekly","290",,"1832,3985,5622,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,45825,4bb5d8,"JMO Band at Esan Ban Suan Restaurant","Come and dine on authentic Esan Cuisine\, have a cold beverage and listen to the amazing music of the JMO Band every Wednesday night at 7:30p. E-San Baan Suan is open 7 days a week from 10a until midnight and features many different environments to dine in. The music stage is at the rear of the restaurant and parking is located on the east side entrance off of Pala-U Rd.","09/10/2025","07:30:PM","09/10/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"17869","Esan Ban Suan Restaurant",,"E-San Baan Suan Restaurant ",,,"https://maps.app.goo.gl/6tJv6BfcJg4rihnF8","Array","17868","Esan Ban Suan Restaurant","E-San Baan Suan Restaurant",,,,"20424","JMO Band @ Esan Ban Suan Restaurant - Modern Thai Rock - Thai Pop - Contemporary Rock",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/09/20250903_210049.jpg,yes,"weekly","321",,"1827,3986,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,45807,4bb5d8,"This Way and Fluke &amp; Friend at  Dots &amp; A Dash Hua Hin","Join This Way for acoustic pop music at 8:00p followed by Fluke &amp; Friend for some more contemporary acoustic R&amp;B and pop music every Thursday 10:00p to Midnight. 'A craft beer on Hua Hin 51 alley\, like enjoying a beer at a friend's house\, craft beer\, 8 taps Thai\, Thai\, spicy\, wine\, Thai-Isan style food and side dishes\, Japanese style and also European style available. Live music every day except closed Wednesdays. 2 bands/night 20.30-00.30We are Pet Friendly. Three Dots &amp; a Dash is located on Nebkeahardt Rd in the Soi 51 EntertainmentDistrict and is Open Thursday thru Tuesday 6p until 1a","09/04/2025","08:00:PM","09/04/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"4908","Three Dots &amp;amp; A Dash Hua Hin",,"Three Dots &amp;amp; A Dash Hua Hin",,,"https://maps.app.goo.gl/YcT28gcdVaa655R18","21694","4909","Three Dots &amp;amp; A Dash Hua Hin","Three Dots &amp;amp; A Dash Hua Hin",,,,"21694","This Way and Fluke &amp; Friend at Three Dots &amp; A Dash Hua Hin - Pop - Contemporary Pop - Acoustic ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/12/FB_IMG_1756346235535.jpg,yes,"weekly","321",,"1832,3996,3985,1827,3997,","Thai Pop","4267,","Music/Gigs Calendar",
publish,45806,4bb5d8,"Romantic Cro-Magnon and Messily at  Dots &amp; A Dash Hua Hin","Join Romantic Cro-Magnon for acoustic pop music at 8:00p followed by Messily for some more contemporary acoustic R&amp;B and pop music every Thursday 10:00p to Midnight. 'A craft beer on Hua Hin 51 alley\, like enjoying a beer at a friend's house\, craft beer\, 8 taps Thai\, Thai\, spicy\, wine\, Thai-Isan style food and side dishes\, Japanese style and also European style available. Live music every day except closed Wednesdays. 2 bands/night 20.30-00.30We are Pet Friendly. Three Dots &amp; a Dash is located on Nebkeahardt Rd in the Soi 51 EntertainmentDistrict and is Open Thursday thru Tuesday 6p until 1a","08/30/2025","08:00:PM","08/30/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"4908","Three Dots &amp;amp; A Dash Hua Hin",,"Three Dots &amp;amp; A Dash Hua Hin",,,"https://maps.app.goo.gl/YcT28gcdVaa655R18","21694","4909","Three Dots &amp;amp; A Dash Hua Hin","Three Dots &amp;amp; A Dash Hua Hin",,,,"21694","Romantic Cro-Magnon and Messily at Three Dots &amp; A Dash Hua Hin - Pop - Contemporary Pop - Acoustic ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/12/received_1451003826204333.jpeg,yes,"weekly","321",,"1832,3996,3985,1827,3997,","Thai Pop","4267,","Music/Gigs Calendar",
publish,45805,4bb5d8,"Tower Table Tower Tower and Little Boy Band at Three Dots &amp; A Dash Hua Hin","Join Tower Table Tower Tower for acoustic pop music at 8:00p followed by LittleBoy Band for some more contemporary acoustic R&amp;B and pop music every Thursday 10:00p to Midnight. 'A craft beer on Hua Hin 51 alley\, like enjoying a beer at a friend's house\, craft beer\, 8 taps Thai\, Thai\, spicy\, wine\, Thai-Isan style food and side dishes\, Japanese style and also European style available. Live music every day except closed Wednesdays. 2 bands/night 20.30-00.30We are Pet Friendly. Three Dots &amp; a Dash is located on Nebkeahardt Rd in the Soi 51 EntertainmentDistrict and is Open Thursday thru Tuesday 6p until 1a","09/04/2025","08:00:PM","09/04/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"4908","Three Dots &amp;amp; A Dash Hua Hin",,"Three Dots &amp;amp; A Dash Hua Hin",,,"https://maps.app.goo.gl/YcT28gcdVaa655R18","21694","4909","Three Dots &amp;amp; A Dash Hua Hin","Three Dots &amp;amp; A Dash Hua Hin",,,,"21694","Tower Table Tower Tower and Little Boy Band at Three Dots &amp; A Dash Hua Hin - Pop - Contemporary Pop - Acoustic ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/12/received_1068908381896994.jpeg,yes,"weekly","321",,"1832,3996,3985,1827,3997,","Thai Pop","4267,","Music/Gigs Calendar",
